frame,voltage
0,7279.0
10,275.0
20,291.0
30,7.0
40,287.0
60,75.0
80,295.0
90,295.0
110,279.0
120,2.0
130,287.0
160,7299.0
190,7303.0
220,275.0
230,287.0
270,7.0
280,7307.0
310,279.0
320,7.0
330,287.0
340,267.0
350,271.0
360,7.0
380,283.0
390,7.0
400,279.0
410,4.0
440,287.0
450,287.0
460,279.0
470,275.0
480,315.0
490,303.0
500,307.0
510,279.0
530,275.0
540,271.0
550,279.0
560,275.0
570,267.0
580,299.0
590,291.0
610,287.0
620,275.0
630,267.0
640,887.0
660,299.0
670,2.0
680,7.0
710,287.0
740,4.0
750,311.0
760,303.0
770,275.0
780,299.0
790,275.0
810,279.0
830,287.0
850,287.0
860,279.0
870,275.0
890,275.0
900,275.0
910,295.0
920,283.0
950,307.0
960,287.0
990,279.0
1000,279.0
1010,275.0
1030,299.0
1040,229.0
1050,287.0
1130,7295.0
1140,279.0
1150,295.0
1160,295.0
1170,307.0
1180,7.0
1190,275.0
1200,287.0
1210,2275.0
1220,291.0
1240,2.0
1250,279.0
1260,299.0
1280,287.0
1290,7.0
1310,295.0
1320,7295.0
1340,7.0
1350,279.0
1400,287.0
1430,267.0
1460,7.0
1470,7287.0
1480,3030.0
1490,291.0
1500,283.0
1520,265.0
1580,301.0
1590,293.0
1600,297.0
1610,297.0
1620,301.0
1630,301.0
1650,297.0
1680,281.0
1690,297.0
1700,289.0
1710,4.0
1720,301.0
1750,280.0
1790,301.0
1800,293.0
1810,297.0
1830,281.0
1860,277.0
1870,281.0
1900,297.0
1910,277.0
1930,3.0
1940,313.0
1950,313.0
1980,305.0
2020,303.0
2060,297.0
2080,323.0
2100,301.0
2110,305.0
2130,297.0
2140,313.0
2210,305.0
2230,297.0
2240,297.0
2250,313.0
2260,3139.0
2270,3.0
2280,297.0
2290,30.0
2300,305.0
2330,301.0
2350,301.0
2370,301.0
2390,31.0
2400,289.0
2410,313.0
2430,301.0
2520,297.0
2560,297.0
2630,305.0
2660,297.0
